AN,TAB,one,two,Cluster,Cluster Number,Number of Items,Top Cluster Terms
2385,"A new era in idiopathic pulmonary fibrosis: considerations for future clinical trials The past decade has seen substantial progress in understanding the pathobiology, natural history, and clinical significance of idiopathic pulmonary fibrosis (IPF), culminating in the establishment of two effective medical therapies. Now seems an important time to reconsider the design and conduct of future IPF clinical trials. Building on lessons learned over the past decade, we use this perspective to lay out four key considerations for moving forward effectively and efficiently with the next generation of clinical trials in IPF. These are: development of a coordinated IPF clinical trials network; establishment of expectations for early phase proof of concept studies; adaptation of late-phase efficacy trial designs to the emergence of approved therapies, and; agreement on primary end-points for late phase clinical trials. Continued progress in the field of IPF will require creativity and collaboration on the part of all stakeholders. We believe that addressing these four considerations will encourage and enable investment in this new era of drug development in IPF, and will lead to more rapid development of effective therapies. Copyright _ERS 2015.",,,1,,,
2386,"HIV Drug Resistance Surveillance Among Jamaican Men Who Have Sex with Men Should Be Prioritized for Reducing HIV Transmission The prevalence of human immunodeficiency virus type 1 (HIV-1) is highest among men who have sex with men (MSM) in Jamaica but no genotypic data are available on the virus strains that are responsible for the epidemic among this key population. HIV-1 polymerase (pol) genes from 65 MSM were sequenced and used to predict drug resistance mutations. An HIV drug resistance prevalence of 28% (minimum 13%) was observed among this cohort, with the most frequent mutations conferring resistance to efavirenz, nevirapine, and lamivudine. Phylogenetic analysis of the sequences revealed 10 times the number of linked HIV infections among this cohort than respondent reporting. HIV treatment and prevention efforts in Jamaica could benefit significantly from Pol genotyping of the HIV strains infecting socially vulnerable MSM prior to initiating antiretroviral therapy (ART), as this would guide suppressive ART and unearth HIV transmission clusters to enable more effective delivery of treatment and prevention programs.",,,6,,,
2387,"Antagonism of dsRNA-Induced Innate Immune Pathways by NS4a and NS4b Accessory Proteins during MERS Coronavirus Infection Middle East respiratory syndrome coronavirus (MERS-CoV) was first identified in 2012 as a novel etiological agent of severe respiratory disease in humans. As during infection by other viruses, host sensing of viral double-stranded RNA (dsRNA) induces several antiviral pathways. These include interferon (IFN), oligoadenylate synthetase (OAS)-RNase L, and protein kinase R (PKR). Coronaviruses, including MERS-CoV, potently suppress the activation of these pathways, inducing only modest host responses. Our study describes the functions of two accessory proteins unique to MERS-CoV and related viruses, NS4a and NS4b, during infection in human airway epithelium-derived A549 cells. NS4a has been previously characterized as a dsRNA binding protein, while NS4b is a 2',5'-phosphodiesterase with structural and enzymatic similarity to NS2 encoded by mouse hepatitis virus (MHV). We found that deletion of NS4a results in increased interferon lambda (IFNL1) expression, as does mutation of either the catalytic site or nuclear localization sequence of NS4b. All of the mutant viruses we tested exhibited slight decreases in replication. We previously reported that, like MHV NS2, NS4b antagonizes OAS-RNase L, but suppression of IFN is a previously unidentified function for viral phosphodiesterases. Unexpectedly, deletion of NS4a does not result in robust activation of the PKR or OAS-RNase L pathways. Therefore, MERS-CoV likely encodes other proteins that contribute to suppression or evasion of these antiviral innate immune pathways that should be an important focus of future work. This study provides additional insight into the complex interactions between MERS-CoV and the host immune response.IMPORTANCE Middle East respiratory syndrome coronavirus (MERS-CoV) is the second novel zoonotic coronavirus to emerge in the 21st century and cause outbreaks of severe respiratory disease. More than 2,200 cases and 800 deaths have been reported to date, yet there are no licensed vaccines or treatments. Coronaviruses encode unique accessory proteins that are not required for replication but most likely play roles in immune antagonism and/or pathogenesis. Our study describes the functions of MERS-CoV accessory proteins NS4a and NS4b during infection of a human airway-derived cell line. Loss of these accessory proteins during MERS-CoV infection leads to host antiviral activation and modestly attenuates replication. In the case of both NS4a and NS4b, we have identified roles during infection not previously described, yet the lack of robust activation suggests much remains to be learned about the interactions between MERS-CoV and the infected host. Copyright _ 2019 Comar et al.",,,1,,,
2388,"Impact of Game-Inspired Infographics on User Engagement and Information Processing in an eHealth Program BACKGROUND: Online interventions providing individual health behavior assessment should deliver feedback in a way that is both understandable and engaging. This study focused on the potential for infographics inspired by the aesthetics of game design to contribute to these goals. OBJECTIVE: We conducted formative research to test game-inspired infographics against more traditional displays (eg, text-only, column chart) for conveying a behavioral goal and an individual's behavior relative to the goal. We explored the extent to which the display type would influence levels of engagement and information processing. METHODS: Between-participants experiments compared game-inspired infographics with traditional formats in terms of outcomes related to information processing (eg, comprehension, cognitive load) and engagement (eg, attitudes toward the information, emotional tone). We randomly assigned participants (N=1162) to an experiment in 1 of 6 modules (tobacco use, alcohol use, vegetable consumption, fruit consumption, physical activity, and weight management). RESULTS: In the tobacco module, a game-inspired format (scorecard) was compared with text-only; there were no differences in attitudes and emotional tone, but the scorecard outperformed text-only on comprehension (P=.004) and decreased cognitive load (P=.006). For the other behaviors, we tested 2 game-inspired formats (scorecard, progress bar) and a traditional column chart; there were no differences in comprehension, but the progress bar outperformed the other formats on attitudes and emotional tone (P< .001 for all contrasts). CONCLUSIONS: Across modules, a game-inspired infographic showed potential to outperform a traditional format for some study outcomes while not underperforming on other outcomes. Overall, findings support the use of game-inspired infographics in behavioral assessment feedback to enhance comprehension and engagement, which may lead to greater behavior change.",,,4,,,
2389,"Novel genetic loci identified for the pathophysiology of childhood obesity in the Hispanic population Genetic variants responsible for susceptibility to obesity and its comorbidities among Hispanic children have not been identified. The VIVA LA FAMILIA Study was designed to genetically map childhood obesity and associated biological processes in the Hispanic population. A genome-wide association study (GWAS) entailed genotyping 1.1 million single nucleotide polymorphisms (SNPs) using the Illumina Infinium technology in 815 children. Measured genotype analysis was performed between genetic markers and obesity-related traits i.e., anthropometry, body composition, growth, metabolites, hormones, inflammation, diet, energy expenditure, substrate utilization and physical activity. Identified genome-wide significant loci: 1) corroborated genes implicated in other studies (MTNR1B, ZNF259/APOA5, XPA/FOXE1 (TTF-2), DARC, CCR3, ABO); 2) localized novel genes in plausible biological pathways (PCSK2, ARHGAP11A, CHRNA3); and 3) revealed novel genes with unknown function in obesity pathogenesis (MATK, COL4A1). Salient findings include a nonsynonymous SNP (rs1056513) in INADL (p = 1.2E-07) for weight; an intronic variant in MTNR1B associated with fasting glucose (p = 3.7E-08); variants in the APOA5-ZNF259 region associated with triglycerides (p = 2.5-4.8E-08); an intronic variant in PCSK2 associated with total antioxidants (p = 7.6E-08); a block of 23 SNPs in XPA/FOXE1 (TTF-2) associated with serum TSH (p = 5.5E-08 to 1.0E-09); a nonsynonymous SNP (p = 1.3E-21), an intronic SNP (p = 3.6E-13) in DARC identified for MCP-1; an intronic variant in ARHGAP11A associated with sleep duration (p = 5.0E-08); and, after adjusting for body weight, variants in MATK for total energy expenditure (p = 2.7E-08) and in CHRNA3 for sleeping energy expenditure (p = 6.0E-08). Unprecedented phenotyping and high-density SNP genotyping enabled localization of novel genetic loci associated with the pathophysiology of childhood obesity.",,,8,,,
2390,"A national strategy to develop pragmatic clinical trials infrastructure An important challenge in comparative effectiveness research is the lack of infrastructure to support pragmatic clinical trials, which compare interventions in usual practice settings and subjects. These trials present challenges that differ from those of classical efficacy trials, which are conducted under ideal circumstances, in patients selected for their suitability, and with highly controlled protocols. In 2012, we launched a 1-year learning network to identify high-priority pragmatic clinical trials and to deploy research infrastructure through the NIH Clinical and Translational Science Awards Consortium that could be used to launch and sustain them. The network and infrastructure were initiated as a learning ground and shared resource for investigators and communities interested in developing pragmatic clinical trials. We followed a three-stage process of developing the network, prioritizing proposed trials, and implementing learning exercises that culminated in a 1-day network meeting at the end of the year. The year-long project resulted in five recommendations related to developing the network, enhancing community engagement, addressing regulatory challenges, advancing information technology, and developing research methods. The recommendations can be implemented within 24 months and are designed to lead toward a sustained national infrastructure for pragmatic trials. _ 2014 Wiley Periodicals, Inc.",,,2,,,
2391,"Longitudinal changes in symptom cluster membership in inflammatory bowel disease PURPOSE: To describe changes in symptom cluster membership over 1 year and to examine which demographic and clinical factors predict changes in symptom cluster membership among adults with inflammatory bowel disease. DESIGN: A retrospective longitudinal study of the Crohn's & Colitis Foundation of America Partners Cohort from 2012 to 2015. METHODS: We measured symptoms of pain interference, fatigue, sleep disturbance, depression, and anxiety. We used latent transition analysis to describe changes in symptom cluster membership (baseline, 6 months, and 12 months) and multinomial regressions to examine factors associated with symptom cluster membership transition. FINDINGS: Four groups were identified (N = 5,296): high symptom burden (32.3%-35.3%), low symptom burden (24.2%-27.1%), physical symptoms (19.0%-20.9%; pain, fatigue, sleep disturbance), and psychological symptoms (20.0%-21.5%; depression, anxiety). The probability of staying in the same group was .814 to .905. Moving from active disease into remission was associated with moving from the high burden to low burden and psychological symptom groups. CONCLUSIONS: Symptom cluster membership was quite stable over 1 year. Research is needed to understand the underlying etiology of symptom clusters better and to develop interventions to reduce symptom burden in this vulnerable population. CLINICAL RELEVANCE: Careful consideration of symptom management options should be done with patients to select options that are effective and potentially target multiple symptoms. _ 2018 Sigma Theta Tau International.",,,1,,,
2392,"Symptom clusters in adults with inflammatory bowel disease Symptoms (pain, fatigue, sleep disturbance, depression, and anxiety) in inflammatory bowel disease (IBD) are associated with reduced quality of life. Understanding how IBD symptoms cluster and the clinical and demographic factors associated with symptom clusters will enable focused development of symptom management interventions. The study purposes were to (i) identify symptom cluster membership among adults with IBD and (ii) examine associations between demographic (age, gender, race/ethnicity, and education) and clinical factors (smoking status, time since diagnosis, medication type, IBD type, disease activity), and membership in specific symptom cluster groups. We conducted a retrospective study of data from the Crohn's and Colitis Foundation of America's (CCFA) Partners Cohort and used Patient Reported Outcome Measurement Information System (PROMIS) measures to measure pain interference, fatigue, sleep disturbance, anxiety, and depression. The sample included 5,296 participants with IBD (mean age 44, 72% female). In latent class analysis (LCA), four groups of participants were identified based on symptoms: ""low symptom burden"" (26% of sample), ""high symptom burden"" (38%), ""physical symptoms"" (22%), and ""psychological symptoms"" (14%). In multinomial regression, female gender, smoking, corticosteroids, Crohn's disease, and active disease state were associated with membership in the high symptom burden group. Additional research is needed to test interventions that may be effective at reducing symptom burden for individuals with IBD. _ 2017 Wiley Periodicals, Inc.",,,1,,,
2393,"Using the question-behavior effect to promote disease prevention behaviors: two randomized controlled trials OBJECTIVE: To test the efficacy of interventions based on the question-behavior effect in promoting the adoption of disease prevention behaviors. DESIGN: In Study 1, adults from the general public were randomly allocated to complete a questionnaire about health checks (question-behavior effect condition) or not (control) and later received an invitation to attend for screening. In Study 2, health care professionals were randomly allocated to complete a questionnaire about influenza vaccination or not and later had the opportunity to receive a vaccination. MAIN OUTCOME MEASURES: We objectively assessed health check attendance (Study 1) and influenza vaccination (Study 2). RESULTS: In Study 1, intention-to-treat analyses indicated that health check attendance was significantly higher in the question-behavior effect condition (68.3%) compared with the control condition (53.5%). In Study 2, intention-to-treat analyses indicated that influenza vaccination was significantly higher among participants in the question-behavior effect condition (42.0%) compared with the control condition (36.3%), and this effect persisted after controlling for demographic variables. Explanatory analyses indicated that the effects in both studies were attributable to completing rather than merely receiving the questionnaire and were stronger for those with positive attitudes or intentions about the target behavior. CONCLUSION: The question-behavior effect represents a simple, cost-effective means to increase disease prevention behaviors among the general public and health professionals. Implications for promoting health behaviors are discussed. (c) 2011 APA, all rights reserved.",,,0,,,
2394,"Some feelings are more important: cognitive attitudes, affective attitudes, anticipated affect, and blood donation OBJECTIVE: The present research assessed the simultaneous effects of four attitude variables (cognitive attitudes, affective attitudes, anticipated negative affective reactions, and anticipated positive affective reactions) in the context of the theory of planned behavior (TPB) on blood-donation intentions and behavior. METHODS: Experienced blood donors (N = 1108) completed questionnaires measuring attitude variables plus components of the TPB and a measure of attitudinal ambivalence in relation to giving blood again in the next six months. Records were used to assess whether participants subsequently donated blood again in the six months after completing the questionnaire. The main outcome measures were objectively assessed blood donation and intentions to make an additional donation of blood. RESULTS: Confirmatory factor analysis supported a distinction between cognitive attitudes about giving blood, affective attitudes about giving blood, anticipated negative affective reactions about not giving blood, and anticipated positive affective reactions about giving blood. Multiple regression analyses indicated that perceived behavioral control, anticipated negative affective reactions, cognitive attitude, anticipated positive affective reactions and subjective norms were significant simultaneous predictors of intentions to donate blood. Logistic regression analyses indicated that intentions, perceived behavioral control, and anticipated positive affective reactions were significant, simultaneous predictors of blood donation. Attitudinal ambivalence significantly moderated the effects of cognitive attitudes on intentions, and the effects of anticipated negative affective reactions on both intentions and donation behavior. CONCLUSION: The findings point to the value of considering different types of attitudes, and anticipated negative affective reaction in particular, for predicting health behaviors. PsycINFO Database Record (c) 2013 APA, all rights reserved.",,,1,,,
2395,"Genetic diversity and association studies in US hispanic/latino populations: applications in the hispanic community health study/study of latinos US Hispanic/Latino individuals are diverse in genetic ancestry, culture, and environmental exposures. Here, we characterized and controlled for this diversity in genome-wide association studies (GWASs) for the Hispanic Community Health Study/Study of Latinos (HCHS/SOL). We simultaneously estimated population-structure principal components (PCs) robust to familial relatedness and pairwise kinship coefficients (KCs) robust to population structure, admixture, and Hardy-Weinberg departures. The PCs revealed substantial genetic differentiation within and among six self-identified background groups (Cuban, Dominican, Puerto Rican, Mexican, and Central and South American). To control for variation among groups, we developed a multi-dimensional clustering method to define a ""genetic-analysis group"" variable that retains many properties of self-identified background while achieving substantially greater genetic homogeneity within groups and including participants with non-specific self-identification. In GWASs of 22 biomedical traits, we used a linear mixed model (LMM) including pairwise empirical KCs to account for familial relatedness, PCs for ancestry, and genetic-analysis groups for additional group-associated effects. Including the genetic-analysis group as a covariate accounted for significant trait variation in 8 of 22 traits, even after we fit 20 PCs. Additionally, genetic-analysis groups had significant heterogeneity of residual variance for 20 of 22_traits, and modeling this heteroscedasticity within the LMM reduced genomic inflation for 19 traits. Furthermore, fitting an LMM_that utilized a genetic-analysis group rather than a self-identified background group achieved higher power to detect previously reported associations. We expect that the methods applied here will be useful in other studies with multiple ethnic groups, admixture, and relatedness. Copyright _ 2016 The American Society of Human Genetics. Published by Elsevier Inc. All rights reserved.",,,1,,,
2396,"Classifying medical histories in US Medicare beneficiaries using fixed vs all-available look-back approaches PURPOSE: Evaluate use of fixed and all-available look-backs to identify eligibility criteria and confounders among Medicare beneficiaries. METHODS: We identified outpatient visits (2007-2012) with recently documented (_180_days) cardiovascular risk and classified patients according to whether the exposure (statin) was initiated within 14_days. We selected each beneficiary's first eligible visit (in each treatment group) that met criteria during the respective look-backs: continuous enrollment (1 or 3_years for fixed look-back; 180_days for all-available), no cancer history, and no statin claims. We estimated crude and standardized mortality ratio weighted hazard ratios (HRs) for the effect of statin initiation on incident 6-month cancer (a known null effect) and 2-year mortality, separately, adjusting for covariates assessed by using each look-back. RESULTS: Analyzing short-term cancer, the estimated HR from the all-available approach (HR_=_0.90, 95% CI: 0.83, 0.98) was less biased than the 1-year look-back (HR_=_0.79, 95% CI: 0.73, 0.84), which included beneficiaries with prevalent cancer. The 3-year look-back (HR_=_1.05, 95% CI: 0.90, 1.21) was somewhat less biased than the all-available estimate but less precise due the exclusion of a large proportion of observations without sufficient continuous enrollment (62.0% and 59.9% of initiators and non-initiators, respectively). All approaches produced similar estimates of the effect on all-cause mortality. Alternative look-backs did not differ in their ability to control confounding. CONCLUSIONS: The all-available look-back performed nearly as well as the 3-year fixed, which produced the least biased point estimate. If 3-year look-backs are infeasible (eg, due to power/sample), all-available look-backs may be preferable to short (1-year) fixed look-backs. Copyright _ 2018 John Wiley & Sons, Ltd.",,,5,,,
2397,"Sexual orientation and sex differences in socioeconomic status: a population-based investigation in the National Longitudinal Study of Adolescent to Adult Health BACKGROUND: Socioeconomic status (SES) is a fundamental contributor to health; however, limited research has examined sexual orientation differences in SES. METHODS: 2008-2009 data from 14_051 participants (ages 24-32 years) in the US-based, representative, National Longitudinal Study of Adolescent to Adult Health were analysed using multivariable regressions that adjusted for age, race-ethnicity, childhood SES, urbanicity and Census region, separately for females and males. Modification by racial minority status (black or Latino vs white, non-Hispanic) was also explored. RESULTS: Among females, sexual minorities (SM) (10.5% of females) were less likely to graduate college, and were more likely to be unemployed, poor/near__oor, to receive public assistance and to report economic hardship and lower social status than heterosexuals. Adjusting for education attenuated many of these differences. Among males, SM (4.2% of males) were more likely than heterosexuals to be college graduates; however, they also had lower personal incomes. Lower rates of homeownership were observed among SM, particularly racial minority SM females. For males, household poverty patterns differed by race-ethnicity: among racial minority males, SM were more likely than heterosexuals to be living at >400%__ederal poverty level), whereas the pattern was reversed among whites. CONCLUSIONS: Sexual minorities, especially females, are of lower SES than their heterosexual counterparts. SES should be considered a potential mediator of SM stigma on health. Studies of public policies that may produce, as well as mitigate, observed SES inequities, are warranted. _ Author(s) (or their employer(s)) 2018. No commercial re-use. See rights and permissions. Published by BMJ.",,,4,,,
2398,"Food insecurity and violence in a prospective cohort of women at risk for or living with HIV in the U.S BACKGROUND: Food insecurity and violence are two major public health issues facing U.S. women. The link between food insecurity and violence has received little attention, particularly regarding the temporal ordering of events. The present study used data from the Women's Interagency Human Immunodeficiency Virus Study to investigate the longitudinal association of food insecurity and violence in a cohort of women at risk for or living with HIV. METHODS: Study participants completed six assessments from 2013-16 on food insecurity (operationalized as marginal, low, and very low food security) and violence (sexual or physical, and psychological). We used multi-level logistic regression, controlling for visits (level 1) nested within individuals (level 2), to estimate the association of experiencing violence. RESULTS: Among 2,343 women (8,528 visits), we found that victims of sexual or physical violence (odds ratio = 3.10; 95% confidence interval: 1.88, 5.19) and psychological violence (odds ratio = 3.00; 95% confidence interval: 1.67, 5.50) were more likely to report very low food security. The odds of experiencing violence were higher for women with very low food security at both the current and previous visit as compared to only the current visit. HIV status did not modify these associations. CONCLUSIONS: Food insecurity was strongly associated with violence, and women exposed to persistent food insecurity were even more likely to experience violence. Food programs and policy must consider persistent exposure to food insecurity, and interpersonal harms faced by food insecure women, such as violence.",,,6,,,
2399,"""He Told Me to Check My Health"": A Qualitative Exploration of Social Network Influence on Men's HIV Testing Behavior and HIV Self-Testing Willingness in Tanzania Men continue to test for HIV at a low rate in sub-Saharan Africa. Recent quantitative evidence from sub-Saharan Africa indicates that encouragement to test for HIV from men's network members is associated with higher previous HIV testing and HIV self-testing (HIVST) willingness. Leveraging this positive network influence to promote HIVST among men is a promising strategy that could increase HIV testing. This study investigated the reasons and strategies men used to encourage their peers to test for HIV and the outcomes in order to inform the development of a social network-based HIVST intervention for men called STEP (Self-Testing Education and Promotion). Twenty-three men from networks locally referred to as ""camps"" were interviewed to explore reasons for encouraging HIV testing, strategies to encourage HIV testing, and outcomes of HIV testing encouragement. Reasons men reported for encouraging their peers to test for HIV included awareness of their peers' risky sexual behavior, knowing an HIV-positive peer, and having HIV testing experience. Strategies for encouraging testing included engaging in formal and informal conversations and accompanying friends to the clinic. Encouragement outcomes included HIV testing for some men while others remained untested due to lack of privacy in the clinic and fear of HIV stigma. Willingness to self-test for HIV and an interest to educate peers about HIVST were other outcomes of HIV testing encouragement. These findings underscore the potential of leveraging men's existing HIV testing encouragement strategies to promote HIVST among their peers.",,,6,,,
2400,"Sexual and Social Network Correlates of Willingness to Self-Test for HIV Among Ever-Tested and Never-Tested Men: Implications for the Tanzania STEP Project We examined factors associated with HIV self-testing (HIVST) willingness among male ever-testers and never-testers who participated in a midpoint survey of a cluster randomized controlled HIV prevention trial in Dar es Salaam. Linear mixed binary logistic regression models were constructed to examine factors (demographic, HIV risk behavior, and sexual/social network) associated with willingness to self-test. Sixtyseven percent of 301 never-testers were willing to self-test for HIV compared to 72% 577 of ever-testers. Among never-testers, having discussed testing for HIV with a sexual partner was the only factor associated with HIVST willingness (2.36, 95% CI: 1.35-4.15). For evertesters, younger men were less willing to self-test than older men while men with higher education were more willing to self-test than less educated men. Having a moderate/great HIV risk perception decreased the odds of HIVST willingness relative to no risk perception (0.40, 95% CI 0.23-0.70) for ever-testers. Discussing HIV testing with a sexual partner and having been encouraged to test for HIV by a friend were associated with higher odds of being willing to self-test (2.22, 2.23; 95% CI 1.34-3.67, 1.14-4.39, respectively) among ever-testers. These findings suggest that HIVST willingness is highly acceptable among both male ever-testers and never-testers.",,,6,,,
2401,"Systematic review of mobile health behavioural interventions to improve uptake of HIV testing for vulnerable and key populations Introduction This systematic narrative review examined the empirical evidence on the effectiveness of mobile health (mHealth) behavioural interventions designed to increase the uptake of HIV testing among vulnerable and key populations. Methods MEDLINE/PubMed, Embase, Web of Science, and Global Health electronic databases were searched. Studies were eligible for inclusion if they were published between 2005 and 2015, evaluated an mHealth intervention, and reported an outcome relating to HIV testing. We also reviewed the bibliographies of retrieved studies for other relevant citations. The methodological rigor of selected articles was assessed, and narrative analyses were used to synthesize findings from mixed methodologies. Results A total of seven articles met the inclusion criteria. Most mHealth interventions employed a text-messaging feature and were conducted in middle- and high-income countries. The methodological rigor was moderate among studies. The current literature suggests that mHealth interventions can have significant positive effects on HIV testing initiation among vulnerable and key populations, as well as the general public. In some cases, null results were observed. Qualitative themes relating to the use of mobile technologies to increase HIV testing included the benefits of having low-cost, confidential, and motivational communication. Reported barriers included cellular network restrictions, poor linkages with physical testing services, and limited knowledge of appropriate text-messaging dose. Discussion MHealth interventions may prove beneficial in reducing the proportion of undiagnosed persons living with HIV, particularly among vulnerable and key populations. However, more rigorous and tailored interventions are needed to assess the effectiveness of widespread use.",,,7,,,
2402,"Mate Yako Afya Yako: Formative research to develop the Tanzania HIV self-testing education and promotion (Tanzania STEP) project for men The purpose of this formative research, guided by the Integrated Behavioral Model, was to assess men's attitudes and personal agency towards HIV self-testing (HIVST) and confirmatory HIV testing in order to inform the development of the Tanzania STEP (Self-Testing Education and Promotion) Project, a peer-based HIV self-testing intervention for young men in Tanzania. Qualitative in-depth interviews were conducted with 23 men in Dar es Salaam, Tanzania who socialize in networks locally referred to as ""camps"". Men reported privacy, confidentiality, and saving time as the primary reasons for their self-testing interest. Most participants had high perceived control and self-efficacy to self-test and seek confirmatory HIV testing. Nevertheless, men reported concerns related to their ability to perform the test and the potential lack of post-test counseling. Specific recommendations for the intervention included providing HIVST education and pre-test counseling, and using mobile health (mHealth) strategies for participants to reach a healthcare professional for further assistance. The findings suggest that while HIVST is highly acceptable among men in Tanzania, future interventions will need to address the challenges that men may face with HIVST before promoting it as an alternative or supplement to facility-based HIV testing.",,,6,,,
2403,"An integrated encyclopedia of DNA elements in the human genome The human genome encodes the blueprint of life, but the function of the vast majority of its nearly three billion bases is unknown. The Encyclopedia of DNA Elements (ENCODE) project has systematically mapped regions of transcription, transcription factor association, chromatin structure and histone modification. These data enabled us to assign biochemical functions for 80% of the genome, in particular outside of the well-studied protein-coding regions. Many discovered candidate regulatory elements are physically associated with one another and with expressed genes, providing new insights into the mechanisms of gene regulation. The newly identified elements also show a statistical correspondence to sequence variants linked to human disease, and can thereby guide interpretation of this variation. Overall, the project provides new insights into the organization and regulation of our genes and genome, and is an expansive resource of functional annotations for biomedical research.",,,1,,,
2404,"Large-scale gene-centric analysis identifies novel variants for coronary artery disease Coronary artery disease (CAD) has a significant genetic contribution that is incompletely characterized. To complement genome-wide association (GWA) studies, we conducted a large and systematic candidate gene study of CAD susceptibility, including analysis of many uncommon and functional variants. We examined 49,094 genetic variants in _2,100 genes of cardiovascular relevance, using a customised gene array in 15,596 CAD cases and 34,992 controls (11,202 cases and 30,733 controls of European descent; 4,394 cases and 4,259 controls of South Asian origin). We attempted to replicate putative novel associations in an additional 17,121 CAD cases and 40,473 controls. Potential mechanisms through which the novel variants could affect CAD risk were explored through association tests with vascular risk factors and gene expression. We confirmed associations of several previously known CAD susceptibility loci (eg, 9p21.3:p< 10(-33); LPA:p< 10(-19); 1p13.3:p< 10(-17)) as well as three recently discovered loci (COL4A1/COL4A2, ZC3HC1, CYP17A1:p< 5_10(-7)). However, we found essentially null results for most previously suggested CAD candidate genes. In our replication study of 24 promising common variants, we identified novel associations of variants in or near LIPA, IL5, TRIB1, and ABCG5/ABCG8, with per-allele odds ratios for CAD risk with each of the novel variants ranging from 1.06-1.09. Associations with variants at LIPA, TRIB1, and ABCG5/ABCG8 were supported by gene expression data or effects on lipid levels. Apart from the previously reported variants in LPA, none of the other _4,500 low frequency and functional variants showed a strong effect. Associations in South Asians did not differ appreciably from those in Europeans, except for 9p21.3 (per-allele odds ratio: 1.14 versus 1.27 respectively; P for heterogeneity_=_0.003). This large-scale gene-centric analysis has identified several novel genes for CAD that relate to diverse biochemical and cellular functions and clarified the literature with regard to many previously suggested genes.",,,8,,,
2405,"Two novel susceptibility loci for prostate cancer in men of african ancestry Prostate cancer incidence is 1.6-fold higher in African Americans than in other populations. The risk factors that drive this disparity are unknown and potentially consist of social, environmental, and genetic influences. To investigate the genetic basis of prostate cancer in men of African ancestry, we performed a genome-wide association meta-analysis using two-sided statistical tests in 10_202 case subjects and 10_810 control subjects. We identified novel signals on chromosomes 13q34 and 22q12, with the risk-associated alleles found only in men of African ancestry (13q34: rs75823044, risk allele frequency = 2.2%, odds ratio [OR] = 1.55, 95% confidence interval [CI] = 1.37 to 1.76, P = 6.10___10-12; 22q12.1: rs78554043, risk allele frequency = 1.5%, OR_=_1.62, 95% CI_=_1.39 to 1.89, P = 7.50___10-10). At 13q34, the signal is located 5' of the gene IRS2 and 3' of a long noncoding RNA, while at 22q12 the candidate functional allele is a missense variant in the CHEK2 gene. These findings provide further support for the role of ancestry-specific germline variation in contributing to population differences in prostate cancer risk. _ The Author 2017. Published by Oxford University Press.",,,3,,,
2406,"The impact of a cartoon character on adults perceptions of Children's breakfast cereals: a randomized experiment BACKGROUND: Cartoon characters on processed food packaging increase the perception of product preference among children, but their effect among adults has rarely been examined. We evaluated the effect of a cartoon character on breakfast cereals on beliefs about buying them for children, as well as whether demographic characteristics modified this effect. METHODS: An experimental study was conducted with adults from online consumer panels in Mexico (n_=_3755). Participants were randomly assigned to a ""cartoon"" condition (n_=_1789), in which they viewed a breakfast cereal box with a Minion character on the front of the package, or the ""control"" condition (n_=_1966), in which the same cereal box was displayed with no character on the package. Participants were asked: ""Is this a good cereal to buy children?"" with the response options ""Yes"", ""No"", or ""Don't know"". Multinomial adjusted logistic models regressed responses to this question (Yes_=_0, No_=_1, 2_=__on't know) on experimental condition. Differences in the effect of the cartoon character across demographic characteristics were tested by introducing multiplicative interaction terms. RESULTS: The adjusted model showed that participants in the ""cartoon character"" condition were 1.67 (1.45-1.94) times more likely to consider the cereal as being ""Not good to buy for children"" than those in the control condition (p_< _0.001). This effect was smaller among parents (RRR_=_1.39, 1.13-1.72) compared to those without children (RRR_=_2.01, 1.63-2.47). No differences were observed in the proportion of participants answering ""Don't know"" across experimental groups. CONCLUSION: Among this sample of Mexican adults, a cereal with a cartoon character on the packaging was more often perceived as ""not good to buy for children"" compared to a cereal without it. This effect was smaller among parents, potentially due to children influences of parental decisions during food purchasing.",,,5,,,
2407,"Correlation between quantitative PCR and culture-based methods for measuring Enterococcus spp. over various temporal scales at three California marine beaches Several studies have examined how fecal indicator bacteria (FIB) measurements compare between quantitative PCR (qPCR) and the culture methods it is intended to replace. Here, we extend those studies by examining the stability of that relationship within a beach, as affected by time of day and seasonal variations in source. Enterococcus spp. were quantified at three southern California beaches in the morning and afternoon using two qPCR assays, membrane filtration, and defined-substrate testing. While qPCR and culture-based measurements were consistently and significantly correlated, strength of the correlation varied both among and within beaches. Correlations were higher in the morning (0.45 < _ < 0.74 [P < 0.002]) than in the afternoon (0.18 < _ < 0.45 [P < 0.021]) and higher when the fecal contamination was concentrated (0.38 < _ < 0.83 [P < 0.001]) than when it was diffuse (0.19 < _ < 0.34 [P < 0.003]). The ratios of culture-based and qPCR results (CFU or most probable number [MPN] per calibrator cell equivalents [CCE]) also varied spatially and temporally. Ratios ranged between 0.04 and 0.85 CFU or MPN per CCE and were lowest at the beach affected by diffuse pollution. Patterns in the ratios over the course of the day were dissimilar across beaches, increasing with time at one beach and decreasing at another. The spatial and temporal variability we observed indicate that the empirical relationship between culture-based and qPCR results is not universal, even within a beach.",,,1,,,
